epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.087,1.62484,3.82076,0.98372,0.10239,0.31545,0.1097,0.06231,1.4844,2.51891,0.92268,0.0700452,0.00332831,0.00332831
2,330.676,1.37859,1.90896,0.93015,0.33368,0.47864,0.35842,0.21895,1.35667,1.88579,0.89538,0.0397155,0.00633189,0.00633189
3,489.958,1.31465,1.40738,0.91774,0.38185,0.52501,0.42369,0.25102,1.39342,1.86337,0.90275,0.00905575,0.00900547,0.00900547
4,648.287,1.23254,1.19933,0.90262,0.53652,0.58856,0.59288,0.35634,1.37352,1.43928,0.89383,0.008515,0.008515,0.008515
5,805.44,1.11359,1.00927,0.88023,0.62983,0.6605,0.70423,0.43191,1.36286,1.21152,0.89395,0.00802,0.00802,0.00802
6,960.239,1.02182,0.89873,0.86498,0.68909,0.72585,0.78044,0.4639,1.42479,1.09172,0.90612,0.007525,0.007525,0.007525
7,1114.8,0.95203,0.81708,0.85447,0.74547,0.74748,0.82653,0.51109,1.35856,0.98563,0.89252,0.00703,0.00703,0.00703
8,1269.29,0.89991,0.75925,0.84723,0.77496,0.78188,0.86604,0.55953,1.24569,0.8877,0.87024,0.006535,0.006535,0.006535
9,1423.58,0.85371,0.70626,0.84063,0.81997,0.79481,0.88722,0.57645,1.24704,0.84682,0.87538,0.00604,0.00604,0.00604
10,1577.7,0.81971,0.67083,0.83602,0.83906,0.80771,0.90516,0.57618,1.30524,0.81155,0.88149,0.005545,0.005545,0.005545
11,1725.45,1.24408,0.95396,0.91313,0.90852,0.88182,0.96016,0.69276,1.01913,0.65686,0.83938,0.00505,0.00505,0.00505
12,1871.18,1.22369,0.85425,0.90716,0.9305,0.90899,0.97311,0.74282,0.8831,0.58745,0.82218,0.004555,0.004555,0.004555
13,2016.04,1.20426,0.79654,0.90167,0.93294,0.93114,0.97951,0.74966,0.86838,0.56029,0.81872,0.00406,0.00406,0.00406
14,2161.48,1.19389,0.75655,0.89923,0.95691,0.94155,0.98498,0.74877,0.89519,0.53471,0.82113,0.003565,0.003565,0.003565
15,2306.87,1.18479,0.72244,0.89562,0.95662,0.9513,0.98679,0.74426,0.9132,0.51647,0.82347,0.00307,0.00307,0.00307
16,2452.87,1.17396,0.69295,0.89336,0.962,0.95876,0.98828,0.77357,0.80553,0.49241,0.81256,0.002575,0.002575,0.002575
17,2597.98,1.16331,0.66702,0.89048,0.96739,0.96243,0.99024,0.7771,0.82403,0.47832,0.81443,0.00208,0.00208,0.00208
18,2742.09,1.15455,0.64419,0.88848,0.97047,0.96537,0.99034,0.77312,0.82882,0.47288,0.81342,0.001585,0.001585,0.001585
19,2885.56,1.14242,0.62435,0.88598,0.97227,0.96893,0.99084,0.78393,0.79508,0.45772,0.81002,0.00109,0.00109,0.00109
20,3030.6,1.13294,0.60765,0.88235,0.97496,0.97269,0.9917,0.78721,0.78968,0.44796,0.80873,0.000595,0.000595,0.000595
